stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN100;Plassen;12.50390;61.13490;;;;45.6;80.0;57.0
SN10300;Håsjøen;11.77520;62.46980;;;;58.2;50.0;116.4
SN10380;Røros;11.34870;62.57810;7.3;6.9;0.4;73.2;48.0;152.5
SN10600;Aursund;11.45501;62.67401;;;;70.6;59.0;119.7
SN1070;HVALER;11.03215;59.04188;14.1;12.9;1.2;92.4;;
SN10800;Sølendet;11.81530;62.67930;7.0;6.6;0.4;65.2;56.0;116.4
SN11500;Apelsvoll;10.86950;60.70020;11.6;10.5;1.1;30.6;63.0;48.6
SN11710;Einavatn;10.64080;60.59505;;;;37.9;74.0;51.2
SN11900;Biri;10.59540;60.95180;;;;44.3;79.0;56.1
SN12180;Ilseng;11.20280;60.80280;11.5;10.2;1.3;41.0;;
SN12290;Hamar (Disen);11.09480;60.80056;12.0;10.9;1.1;26.9;56.0;48.0
SN1230;Halden;11.38800;59.12230;;;;88.0;85.0;103.5
SN12320;Hamar − Stavsberg;11.06970;60.81800;11.8;10.7;1.1;36.1;61.0;59.2
SN12550;Kise på Hedmark;10.80550;60.77330;12.4;11.0;1.4;29.9;58.0;51.6
SN12600;Vea;10.67905;60.95295;;;;37.5;65.0;57.7
SN12648;Rådhuset ;10.46750;61.11450;12.0;11.0;1.0;33.3;;
SN12680;Sæterengen;10.47620;61.09170;11.1;10.1;1.0;28.6;65.0;44.0
SN12700;Vårsætergrenda ;10.51120;61.10400;10.1;8.9;1.2;;;
SN12710;Nordsetervegen ;10.51430;61.14310;9.3;8.4;0.9;36.5;;
SN12960;Sjusjøen;10.70880;61.16380;7.2;;;68.0;103.0;66.0
SN12980;Bjørnerud ;10.45480;61.14780;10.7;9.7;1.0;43.1;;
SN13030;Follebu;10.26141;61.22651;10.1;9.2;0.9;39.4;;
SN13060;Gausdal;10.17377;61.27285;;;;34.5;75.0;46.0
SN13150;Fåvang;10.18720;61.45820;10.8;9.6;1.2;35.0;68.0;51.5
SN13160;Kvitfjell;10.12662;61.46474;6.5;5.6;0.9;;;
SN13420;Venabu;10.10820;61.65130;6.5;5.7;0.8;58.2;64.0;90.9
SN13655;Skåbu;9.40209;61.53098;6.7;6.0;0.7;37.1;47.0;78.9
